	time	x	y	Explorer	Terminal	Code	Engagement	Excitement	Long term excitement	Stress/Frustration	Relaxation	Interest/Affinity	Focus	Pulse	Bvp	Gsr	Valence	Arousal	Age	Gender	function
0	11-05-2023T12-43-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
1	11-05-2023T12-43-09	0.805112130841491	0.8355395528395185	0.0	0.0	0.0	0.5548014611087235	0.7238065720048931	0.018755695041932197	0.6827120985471659	0.6086898057360788	0.032589266910212356	0.41082511547404255	80.0	86.0	0.2	4.0	2.0	50.0	Male	get_emotion
2	11-05-2023T12-43-10	0.5285174762427809	0.06894165218756865	0.0	0.0	0.0	0.5443888229968821	0.33252091375613935	0.5755036761483322	0.5175025562817631	0.6558042564056977	0.5195317758820658	0.8265879927352748	73.0	-4.0	0.2	4.0	3.0	50.0	Male	get_emotion
3	11-05-2023T12-43-11	0.035742163455390275	0.9396935205634693	0.0	0.0	0.0	0.43265304850086583	0.3600971255790699	0.2761983967818594	0.990121805844487	0.7566765311305903	0.06689364299756595	0.19068467184163285	65.0	90.0	0.2	1.0	1.0	50.0	Male	get_emotion
4	11-05-2023T12-43-12	0.770731739289028	0.094049382056691	0.0	0.0	0.0	0.40919738752957335	0.85933780408178	0.8495655854626768	0.162082985004517	0.15957899680473087	0.9084417235585708	0.7717457175674621	63.0	-25.0	0.2	4.0	2.0	50.0	Male	get_emotion
5	11-05-2023T12-43-13	0.14331813476921962	0.8189659089904983	0.0	0.0	0.0	0.7141505973322001	0.1452443774816602	0.5509965923634331	0.1749337993957808	0.41941780428763553	0.6757992607760602	0.2516925392985703	84.0	-26.0	0.1	3.0	3.0	50.0	Male	get_emotion
6	11-05-2023T12-43-14	0.664426611044786	0.01772623491539238	0.0	0.0	0.0	0.5952327196073459	0.7427383623417712	0.2950195906259798	0.9872254073770146	0.6403578464745852	0.9131232891967235	0.11545535713121935	62.0	-33.0	0.2	2.0	2.0	50.0	Male	get_emotion
7	11-05-2023T12-43-15	0.5058042923096199	0.10505978565518415	0.0	0.0	0.0	0.08033118114018545	0.999329013069371	0.8919888839465546	0.5522859973153446	0.5872272256971136	0.6462662761001328	0.6387792218129869	69.0	-77.0	0.2	1.0	1.0	50.0	Male	get_emotion
8	11-05-2023T12-43-16	0.23249977072755101	0.7296966670164262	0.0	0.0	0.0	0.2813816219141494	0.8496410960868654	0.16111407121003374	0.8874671622389744	0.15850159523352492	0.30897927474997866	0.9510278625660576	77.0	-62.0	0.1	4.0	3.0	50.0	Male	get_emotion
9	11-05-2023T12-43-17	0.1271252189249764	0.9582696936123277	0.0	0.0	0.0	0.8541387059816606	0.6332586287886839	0.25948623111980496	0.024324677434718667	0.08607909673509684	0.23506801832839896	0.5986426899893259	72.0	-17.0	0.2	3.0	2.0	50.0	Male	get_emotion
10	11-05-2023T12-43-18	0.07442208267822692	0.8737981248952883	0.0	0.0	0.0	0.6550219395346142	0.8582821710859149	0.8039343085780586	0.06366608886586	0.5707388173232051	0.5118524380779651	0.7089909285671749	87.0	34.0	0.1	3.0	4.0	50.0	Male	get_emotion
11	11-05-2023T12-43-19	0.5412878243005963	0.34373772349040754	0.0	0.0	0.0	0.14432607705888745	0.880238587673501	0.4002355524668091	0.9160199759219769	0.18511641152179026	0.43187696995658564	0.493892243807051	65.0	-62.0	0.1	1.0	4.0	50.0	Male	get_emotion
12	11-05-2023T12-43-20	0.600847594879536	0.5560818237386935	0.0	0.0	0.0	0.8620676945805643	0.7597407002027741	0.7867414962299307	0.7816797609626936	0.3357052009322754	0.845469383242791	0.6342903041603983	75.0	-87.0	0.1	1.0	4.0	50.0	Male	get_emotion
13	11-05-2023T12-43-21	0.31669450209373085	0.6012593391138586	0.0	0.0	0.0	0.8076189728094605	0.9927736548880736	0.15879764390038387	0.3592950371384227	0.3915347875628893	0.3248325938984592	0.8173772493485371	60.0	20.0	0.1	1.0	4.0	50.0	Male	get_emotion
14	11-05-2023T12-43-22	0.9450683778979985	0.1996050302778386	0.0	0.0	0.0	0.9046842871450408	0.12215048644305893	0.3769946483873663	0.9653293873851925	0.6519676406118804	0.5876329503880544	0.985604227283469	95.0	-5.0	0.1	4.0	1.0	50.0	Male	get_emotion
15	11-05-2023T12-43-23	0.5385379780989022	0.16480447080528593	0.0	0.0	0.0	0.2802421531434286	0.602702280298718	0.6811976853798023	0.9026409422378341	0.7026502865731019	0.7625669868817022	0.6722764243905497	99.0	36.0	0.1	2.0	1.0	50.0	Male	get_emotion
16	11-05-2023T12-43-24	0.2943045296072019	0.2590286495518891	0.0	0.0	0.0	0.9057312244244344	0.5721060152757313	0.13904275094619445	0.6723438786832002	0.29883210175842967	0.5571386806977007	0.9716549090293043	71.0	87.0	0.1	1.0	4.0	50.0	Male	get_emotion
17	11-05-2023T12-43-25	0.059376449639349405	0.7785054789637685	0.0	0.0	0.0	0.10509812789463935	0.5216766655821651	0.04838340625546689	0.19043742311656053	0.4830717811359523	0.08097985009855613	0.7988002627834528	62.0	-15.0	0.2	3.0	4.0	50.0	Male	get_emotion
18	11-05-2023T12-43-26	0.9818423003885491	0.9418838538302053	0.0	0.0	0.0	0.2017657160359131	0.7926147126062421	0.7320670301542178	0.03422567587722325	0.901244319144135	0.889139081581525	0.7697047363502157	83.0	-37.0	0.2	1.0	1.0	50.0	Male	get_emotion
