	time	x	y	Explorer	Terminal	Code	Engagement	Excitement	Long term excitement	Stress/Frustration	Relaxation	Interest/Affinity	Focus	Pulse	Bvp	Gsr	Valence	Arousal
0	26-04-2023T17-56-57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	26-04-2023T17-57-03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2	26-04-2023T17-57-04	0.0	0.0	0.0	0.0	0.0	0.6374410359991654	0.6031737840485867	0.223222053495028	0.11063742079284833	0.5519525358644474	0.2565716418719628	0.9218675087542089	0.0	0.0	0.0	3.0	4.0
3	26-04-2023T17-57-05	0.0	0.0	0.0	0.0	0.0	0.3959305718783642	0.8370614347551795	0.3879706172191263	0.9940048835711617	0.7012088114285492	0.3530670014472844	0.09177895018823401	0.0	0.0	0.0	3.0	4.0
4	26-04-2023T17-57-06	0.0	0.0	0.0	0.0	0.0	0.7507229191616615	0.5354305540754222	0.5676848907498289	0.43290969907331645	0.8250388030690976	0.7053000431776881	0.8765805176203119	0.0	0.0	0.0	3.0	4.0
5	26-04-2023T17-57-07	0.0	0.0	0.0	0.0	0.0	0.36308294068183866	0.5463126593931841	0.4927668543428969	0.779032194462664	0.6746677254215816	0.6963788159614414	0.026351026242689146	0.0	0.0	0.0	3.0	4.0
6	26-04-2023T17-57-08	0.0	0.0	0.0	0.0	0.0	0.7646355652980625	0.3676590704172088	0.3187372162700459	0.9716667630806031	0.06474495477963005	0.6439230471397503	0.8199938211065239	0.0	0.0	0.0	3.0	4.0
7	26-04-2023T17-57-09	0.0	0.0	0.0	0.0	0.0	0.9884475277325486	0.4683864673521839	0.6573993600588455	0.09682901330530935	0.7680901949692246	0.5040382553198471	0.8548310514027602	0.0	0.0	0.0	3.0	4.0
8	26-04-2023T17-57-10	0.0	0.0	0.0	0.0	0.0	0.2476052160278882	0.9733984090246064	0.6202782215796131	0.005018948603342621	0.7561947524925506	0.7905231536685331	0.5316838743761652	0.0	0.0	0.0	3.0	4.0
9	26-04-2023T17-57-11	0.0	0.0	0.0	0.0	0.0	0.003513388355166791	0.6481327982845851	0.25786162625143283	0.40024034390580365	0.9356860227771944	0.19504019462603528	0.11591976720736552	0.0	0.0	0.0	3.0	4.0
10	26-04-2023T17-57-12	0.0	0.0	0.0	0.0	0.0	0.05103401743420244	0.3581084038107166	0.005900412016963674	0.4006883801480404	0.7417894691703815	0.3309452615756501	0.4014699058656105	0.0	0.0	0.0	3.0	4.0
11	26-04-2023T17-57-13	0.0	0.0	0.0	0.0	0.0	0.8600914709478505	0.4873684945094159	0.9207881884279289	0.8479972397686723	0.8965174504765656	0.048002909351561485	0.4571806103700621	0.0	0.0	0.0	3.0	4.0
12	26-04-2023T17-57-14	0.0	0.0	0.0	0.0	0.0	0.6431575203063372	0.9708394414262634	0.19271662318364735	0.6485699753841697	0.9507948167884488	0.7497500431819518	0.9833602286823605	0.0	0.0	0.0	3.0	4.0
13	26-04-2023T17-57-15	0.0	0.0	0.0	0.0	0.0	0.45362247114536824	0.248489272495244	0.7653147688249408	0.7556655585186489	0.8893779750538228	0.8366385095472751	0.11915006843744957	0.0	0.0	0.0	3.0	4.0
14	26-04-2023T17-57-16	0.0	0.0	0.0	0.0	0.0	0.012124557465068575	0.5508483293943413	0.5149604791468088	0.06723538654211647	0.3009490663850952	0.7299660680931026	0.6954795200224277	0.0	0.0	0.0	3.0	4.0
15	26-04-2023T17-57-17	0.0	0.0	0.0	0.0	0.0	0.0419923605946948	0.16894700851278888	0.09492187385763129	0.5881455100069252	0.903121773421302	0.7660808224623902	0.12229866523064314	0.0	0.0	0.0	3.0	4.0
16	26-04-2023T17-57-18	0.0	0.0	0.0	0.0	0.0	0.6299158221770709	0.7162381979225592	0.5402891861652488	0.5103991042396453	0.7671042568729253	0.9673842360196677	0.35830165374395095	0.0	0.0	0.0	3.0	4.0
17	26-04-2023T17-57-20	0.0	0.0	0.0	0.0	0.0	0.8177195025123699	0.6916146972615173	0.5291372267318947	0.4095605048688582	0.17217710634179906	0.1735211972921925	0.05475937536984676	0.0	0.0	0.0	3.0	4.0
18	26-04-2023T17-57-21	0.0	0.0	0.0	0.0	0.0	0.20725878156064304	0.03015955077704624	0.6514917472509981	0.85011421635719	0.7728819930081195	0.38935925721447306	0.2930546177300275	0.0	0.0	0.0	3.0	4.0
19	26-04-2023T17-57-22	0.0	0.0	0.0	0.0	0.0	0.15151643004750037	0.9576422286054012	0.20177149227251512	0.44602734294231006	0.06801641790174418	0.08300154079069	0.8638893486348546	0.0	0.0	0.0	3.0	4.0
20	26-04-2023T17-57-23	0.0	0.0	0.0	0.0	0.0	0.16965042942190878	0.08428548559962834	0.009770742572952629	0.8406706780698177	0.3568277393801865	0.08653548503607078	0.6829973404610642	0.0	0.0	0.0	3.0	4.0
21	26-04-2023T17-57-24	0.0	0.0	0.0	0.0	0.0	0.5339528636083578	0.42584099006316645	0.3973239886416223	0.3750163900158421	0.4286891199447389	0.6578648027947799	0.16810653230933625	0.0	0.0	0.0	3.0	4.0
22	26-04-2023T17-57-25	0.0	0.0	0.0	0.0	0.0	0.7280979617144295	0.939900564754474	0.7266635262675587	0.9301512877687395	0.5283423768427191	0.44675328647651547	0.49695763663756054	0.0	0.0	0.0	3.0	4.0
23	26-04-2023T17-57-26	0.0	0.0	0.0	0.0	0.0	0.559986569240842	0.33294295403802776	0.5122941650632784	0.7039342760782811	0.32719711633577564	0.5103624603078578	0.7634081402567567	0.0	0.0	0.0	3.0	4.0
24	26-04-2023T17-57-27	0.0	0.0	0.0	0.0	0.0	0.9884275763746526	0.8554437590588853	0.9880789699481315	0.4366709700895226	0.33485890794487505	0.03374933867168417	0.1274687047814882	0.0	0.0	0.0	3.0	4.0
25	26-04-2023T17-57-28	0.0	0.0	0.0	0.0	0.0	0.6938740877612977	0.8649127647110969	0.36884433864600286	0.7309703214759784	0.34142211609770823	0.050193657646871226	0.9443786426214004	0.0	0.0	0.0	3.0	4.0
26	26-04-2023T17-57-29	0.0	0.0	0.0	0.0	0.0	0.6938740877612977	0.8649127647110969	0.36884433864600286	0.7309703214759784	0.34142211609770823	0.050193657646871226	0.9443786426214004	0.0	0.0	0.0	3.0	4.0
