	time	x	y	Explorer	Terminal	Code	Engagement	Excitement	Long term excitement	Stress/Frustration	Relaxation	Interest/Affinity	Focus	Pulse	Bvp	Gsr	Valence	Arousal	Age	Gender	function
0	11-05-2023T12-39-21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
1	11-05-2023T12-39-22	0.8978791594289246	0.7897756842842664	0.0	0.0	0.0	0.9016994811130212	0.48377609558766166	0.18224104777600003	0.43720825086391624	0.42327543461110795	0.5288016154532318	0.42588620218033424	89.0	80.0	0.1	0.0	0.0	50.0	Male	get_emotion
2	11-05-2023T12-39-23	0.27773851159001084	0.21136403925162528	0.0	0.0	0.0	0.8072878002296563	0.12002372546469431	0.570678040738225	0.6194644550297977	0.7198482270330802	0.9287991994224285	0.6359692447849878	82.0	52.0	0.1	0.0	0.0	50.0	Male	get_emotion
3	11-05-2023T12-39-24	0.02997603595579612	0.7724001803963573	0.0	0.0	0.0	0.3025070311284721	0.9538473780445789	0.3642575808687999	0.8166090557765949	0.22721829627445922	0.4715417801818287	0.5396046192086978	80.0	-55.0	0.1	0.0	0.0	50.0	Male	get_emotion
4	11-05-2023T12-39-25	0.39054384189377955	0.10629834994534826	0.0	0.0	0.0	0.8076197274410867	0.01432562130833559	0.5570323208160634	0.7745844905501009	0.3901235040275641	0.6581679748939652	0.9422036059525776	85.0	66.0	0.2	0.0	0.0	50.0	Male	get_emotion
5	11-05-2023T12-39-26	0.06632725240286264	0.4664230462449661	0.0	0.0	0.0	0.8887364325090408	0.7380868645811748	0.07817276444452559	0.37840918482488717	0.7737477982943126	0.8620127520017411	0.4629109089683372	70.0	50.0	0.2	0.0	0.0	50.0	Male	get_emotion
6	11-05-2023T12-39-27	0.9587811200043411	0.12323272468573476	0.0	0.0	0.0	0.7614303842819055	0.9914174654193878	0.5884141358006455	0.335486308472964	0.5468048057223971	0.8833506021843195	0.7005970438085157	85.0	-2.0	0.1	0.0	0.0	50.0	Male	get_emotion
7	11-05-2023T12-39-28	0.9183756544405047	0.1325400925022775	0.0	0.0	0.0	0.09619354003976399	0.810366718498492	0.5806654621481552	0.9962741440226579	0.5413107845912675	0.8708025734208982	0.06742241168769103	90.0	31.0	0.2	0.0	0.0	50.0	Male	get_emotion
8	11-05-2023T12-39-29	0.3754495779621835	0.2589952661151127	0.0	0.0	0.0	0.5208138302079817	0.1454008308402086	0.6848405040227722	0.8059354100609626	0.014848664828794989	0.22414621019342063	0.1716734766569722	77.0	71.0	0.2	0.0	0.0	50.0	Male	get_emotion
9	11-05-2023T12-39-30	0.48633166349370005	0.6570903550092384	0.0	0.0	0.0	0.24687142519658334	0.11337361301111626	0.15543262126350832	0.8622710440119108	0.4060154030496207	0.6389553783355364	0.37643220554764534	87.0	-49.0	0.2	0.0	0.0	50.0	Male	get_emotion
10	11-05-2023T12-39-31	0.30655240822879826	0.9886473768474089	0.0	0.0	0.0	0.9860868654537465	0.3517597447583506	0.7565391618014805	0.04693853779933421	0.30621825436705896	0.17241939864153732	0.8459383817604339	61.0	-19.0	0.1	0.0	0.0	50.0	Male	get_emotion
11	11-05-2023T12-39-32	0.751181226730093	0.6592652500483678	0.0	0.0	0.0	0.545373896614571	0.1154116344510755	0.32800225764075286	0.47441711718094803	0.1849457505252342	0.8851302495391009	0.3918143843378854	74.0	-85.0	0.1	0.0	0.0	50.0	Male	get_emotion
