	time	x	y	Explorer	Terminal	Code	Engagement	Excitement	Long term excitement	Stress/Frustration	Relaxation	Interest/Affinity	Focus	Pulse	Bvp	Gsr	Valence	Arousal
0	27-04-2023T12-51-55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	27-04-2023T12-52-02	0.9748597625608236	0.9696913013056195	0.0	0.0	0.0	0.8599571934355379	0.49367464950986184	0.3632339891924047	0.878205153942378	0.8722752160066396	0.8938051662054995	0.583576094322869	78.0	-48.0	0.1	0.0	0.0
2	27-04-2023T12-52-03	0.8869276468057226	0.6392905939706381	0.0	0.0	0.0	0.09159922032726542	8.641002177212087e-05	0.7060033389480721	0.6083874957715948	0.38569102567290225	0.822590519499043	0.33580027017526737	86.0	33.0	0.1	3.0	4.0
3	27-04-2023T12-52-04	0.12010423676195814	0.10468746480698654	0.0	0.0	0.0	0.3689045122345982	0.6120981441541263	0.41942725457942265	0.3622170532624205	0.06646954833512997	0.9055551884401245	0.4988420001841539	66.0	9.0	0.2	3.0	4.0
4	27-04-2023T12-52-05	0.7163844118837805	0.7620861927350969	0.0	0.0	0.0	0.11176070544797334	0.10803203171045372	0.4560514534840815	0.4112594984195542	0.5756646557182474	0.8092602561498577	0.8069925381538556	72.0	-80.0	0.1	3.0	4.0
5	27-04-2023T12-52-06	0.5059390558504068	0.6255056027509441	0.0	0.0	0.0	0.0663876519154406	0.7195535659417215	0.32125368345852334	0.9227641169776205	0.27150714490169614	0.30868351014865103	0.7753645951428443	93.0	12.0	0.2	3.0	4.0
6	27-04-2023T12-52-07	0.23607452331387868	0.5711692851749186	0.0	0.0	0.0	0.11431151212081336	0.5676046612413714	0.022144706685074622	0.15151352158126885	0.07529036948545587	0.9307343346846673	0.6475745633898802	97.0	55.0	0.2	3.0	4.0
7	27-04-2023T12-52-08	0.5675706982757395	0.3387697581443756	0.0	0.0	0.0	0.6796998204007737	0.8292052849364345	0.1313412543524447	0.16400647922905964	0.03257140482408871	0.621055225703874	0.8706533904957131	82.0	87.0	0.1	3.0	4.0
8	27-04-2023T12-52-09	0.30700447778334294	0.0025184402898353886	0.0	0.0	0.0	0.6611066358376965	0.7752960975440072	0.5431470673426855	0.08884045805966112	0.503799027172257	0.4949305634437776	0.44367517996422967	74.0	-81.0	0.1	3.0	4.0
9	27-04-2023T12-52-10	0.6967632697195105	0.7643034724106457	0.0	0.0	0.0	0.09429304250399628	0.5614364431809824	0.9035052812879312	0.8202468399444321	0.9915395585277439	0.11408393616337698	0.3945462444521898	72.0	-51.0	0.1	3.0	4.0
10	27-04-2023T12-52-11	0.5529723051383665	0.5422459744557229	0.0	0.0	0.0	0.21700637692868474	0.9009233268857182	0.7241577748893887	0.3850843566817449	0.658213119923658	0.7180214447957725	0.9799071396117163	82.0	12.0	0.1	3.0	4.0
11	27-04-2023T12-52-12	0.2890984284630802	0.01949964776635804	0.0	0.0	0.0	0.9976737710159197	0.9262327055520024	0.4997069880923908	0.774135368660904	0.17948131574577653	0.9249153089254619	0.8571345416307955	60.0	-83.0	0.1	3.0	4.0
