	time	x	y	Explorer	Terminal	Code	Engagement	Excitement	Long term excitement	Stress/Frustration	Relaxation	Interest/Affinity	Focus	Pulse	Bvp	Gsr	Valence	Arousal
0	26-04-2023T18-28-36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	26-04-2023T18-28-43	0.0	0.0	0.0	0.0	0.0	0.20853474131151328	0.2925997094676779	0.4314443137863394	0.14519756629569558	0.49722990027567593	0.2636022325855234	0.8627006088016586	0.0	0.0	0.0	0.0	0.0
2	26-04-2023T18-28-44	0.0	0.0	0.0	0.0	0.0	0.5504398191186247	0.2867110542144511	0.7078410328425196	0.2914037139509742	0.6388839378993736	0.8267478861021076	0.07421304882399982	0.0	0.0	0.0	0.0	0.0
3	26-04-2023T18-28-45	0.0	0.0	0.0	0.0	0.0	0.9196908893534103	0.02647871772354682	0.3578189191838308	0.17228563971773714	0.8773393616856378	0.9020792918648034	0.3609686773217915	0.0	0.0	0.0	0.0	0.0
4	26-04-2023T18-28-46	0.0	0.0	0.0	0.0	0.0	0.9065005967057722	0.17801930012650924	0.006818586656171521	0.2685953912160213	0.7808415966440911	0.49548768549308	0.3576403209356902	0.0	0.0	0.0	0.0	0.0
5	26-04-2023T18-28-47	0.0	0.0	0.0	0.0	0.0	0.4828612779347491	0.37689955143106935	0.5047782653638371	0.5826893581277944	0.7706203885954934	0.9304833625931864	0.28747252210788055	0.0	0.0	0.0	0.0	0.0
6	26-04-2023T18-28-48	0.0	0.0	0.0	0.0	0.0	0.9959591864460393	0.18318406793995956	0.40378372264915374	0.19659364169559246	0.9501410257793935	0.9731262246072707	0.12859216084623815	0.0	0.0	0.0	0.0	0.0
7	26-04-2023T18-28-49	0.0	0.0	0.0	0.0	0.0	0.3995135095953516	0.3963847884062406	0.6404744846701904	0.28223570310021917	0.9410404188663027	0.7678193488626712	0.46473718033191525	0.0	0.0	0.0	0.0	0.0
8	26-04-2023T18-28-50	0.0	0.0	0.0	0.0	0.0	0.6187982053409313	0.6709492433919503	0.4654103201750639	0.46597825000668625	0.9103009791075112	0.06856469328838055	0.5183956137171648	0.0	0.0	0.0	0.0	0.0
9	26-04-2023T18-28-51	0.0	0.0	0.0	0.0	0.0	0.8774393896811833	0.6692235421828018	0.7361257253559051	0.5313476560593418	0.5200580642496088	0.9655354313541434	0.29714483829153004	0.0	0.0	0.0	0.0	0.0
10	26-04-2023T18-28-52	0.0	0.0	0.0	0.0	0.0	0.8347332701877386	0.5096551309641242	0.17607565487446852	0.19997102344135564	0.9312754417141663	0.8026042242491583	0.3015572699407614	0.0	0.0	0.0	0.0	0.0
11	26-04-2023T18-28-53	0.0	0.0	0.0	0.0	0.0	0.8347332701877386	0.5096551309641242	0.17607565487446852	0.19997102344135564	0.9312754417141663	0.8026042242491583	0.3015572699407614	0.0	0.0	0.0	0.0	0.0
